,Unnamed: 0,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
52,52,Power Industry,Denmark,16.63735582,14.943563,16.614879296,15.55185869,14.84864311,15.66145543,17.828749596,19.61070143,19.0408923,21.43966925,26.26112704,19.99790143,26.5859481033,24.6649717115,25.1847641607,30.7964396699,31.061220996,29.942553852,27.821585615,23.188841985,25.200233293,34.038084525,28.8620084796,30.4360855773,34.510461429,30.66058921,42.930959702,33.887555798,30.426471896,27.2073913242,24.0469979023,25.3271687976,25.4976399114,30.4518397609,24.5194013038,21.2248749562,28.8977777612,24.2030219392,22.1632106158,22.1443298616,22.1569396092,17.9503575531,14.6530609471,16.9389002124,13.4434268091,10.542452906,11.8109786431,9.2980536315,9.4381816546,6.8006863177,5.9922369233
66,66,Power Industry,Finland,8.4427799,8.1612878171,8.37568479,9.5747486752,9.6063714458,10.166869117,15.529486874,14.653157416,18.6904262025,17.2944368178,19.5925389068,11.31471206,10.500020864,10.249320482,11.786996982,16.682270713,15.821870169,17.61751303,17.320607137,16.116501197,18.156702934,19.733205922,17.393841779,20.485457352,24.972291309,22.931238873,29.772757058,27.467290084,22.1615021105,22.5456536925,22.57509621998,27.96211012447,30.53760087945,38.71671192986,34.7534789215299,23.20807700973,34.62629422232,32.2803374844,25.68469471997,25.99008681388,31.84900135307,25.58918849587,20.98018747574,22.32353220104,19.8056297645,16.70759149046,18.28393006344,16.49713946782,17.43607504039,15.29906108019,14.09403045306
87,87,Power Industry,Iceland,0.0283803,0.03156659,0.03475288,0.05994689,0.05683468,0.05994689,0.0441636,0.0441636,0.03786509,0.03786509,0.03156659,0.0376683,0.0155865,0.009394498,0.006282297,0.006282297,0.006282297,0.006282297,0.003186299,0.003186299,0.003186299,0.003186299,0.003186299,0.005203699,0.005203699,0.011411898,0.008299697,0.008299697,0.023779709,0.036163679,0.005753899,0.005753899,0.006395799,0.006395799,0.006395799,0.006395799,0.006395799,0.017836497,0.010247199,0.005020299,0.004836899,0.003186299,0.003186299,0.0062985,0.0062985,0.0062985,0.0062985,0.006743101,0.006729935,0.005698235,0.004297804
137,137,Power Industry,Norway,0.3169556,0.2475236,0.174189,0.1541338,0.0859163,0.103197,0.1271364,0.2136804,0.1439426,0.1514011,0.14047,0.1315022,0.2351694,0.3535174,0.3886658,0.4448887,0.5326198,0.6327593,0.63151225,0.58657707,0.39355345,0.49663533,0.4504199,0.4931918,0.5772746,0.5152237,0.6294079,0.5355999,0.5649779,0.673726997,0.492296397,0.625929497,0.641162402,0.8547472,0.7373761,0.696049902,0.7683691,0.94534956,0.8253807,1.9856813,2.4717666,2.1048701,1.6660181,1.7116476,1.7521891,1.82991838,1.816402,1.8875535,1.891759473,1.919739499,1.910307282
177,177,Power Industry,Sweden,12.916616609,9.237845266,9.61591451,7.913286148,9.442134494,5.561309761,8.190259134,8.404353534,8.899120425,10.37452353,9.224638413,6.58029602,6.739032996,6.692294414,8.846495019,12.361454905,12.1324099031,11.600524216,9.76573083900001,8.334103606,8.1199466648,10.3536066964,9.56358870860001,9.8443032116,10.4521942962,9.7414648624,14.2163384432,10.2363489549,11.0363976793,9.68537200278,7.7840220275,8.787001614,10.228753138,11.1844295895,10.2177488869,9.1276686059,9.2060699405,7.8830974399,7.8381801964,7.98085519870001,10.7069431089,8.1984124133,7.2472162448,7.26091148989999,6.2986193592,6.1789568404,7.10597067918,7.09333793594,7.36577487425999,7.60213106338,7.5436856101
259,259,Buildings,Denmark,24.8021922,23.108477924,22.926636341,23.388907523,20.163135183,19.884234509,22.33624145,21.865669156,21.318832802,22.270209415,18.678858739,16.447383159,12.718246087,11.800635173,11.5652091,11.97078287,11.441334724,11.297723768,9.79496847,8.689151761,8.661060199,8.95691536,8.2420986,8.84719607,8.111373258,8.14793211,8.789475097,8.039751575,7.747445653,7.540574015,6.95380732,7.06594394,6.77449571,6.76324195,6.49007816,6.36593016,6.20286467,5.73434312,5.63130876,5.5290238,5.90573366,5.17919226,4.93801206,4.90077494,4.1554296,4.31743,4.35681756,4.1224011,4.107245054,3.918312566,3.206403807
273,273,Buildings,Finland,11.7070586,11.595257402,11.66233384,12.519871127,10.024119896,11.245048555,11.410949211,12.421500816,12.839159864,12.76575005,11.43835123,9.960769,9.06036036,8.382376829,7.679802,8.0726232,8.47316487,9.052515956,9.200771698,8.436859719,8.643802076,8.578719043,8.630121847,7.549597362,7.663150784,7.757162702,7.705061303,7.3102841,7.4827186,6.5749449,5.9498129,6.6062344,6.3920209,6.6274277,6.0144806,5.7656586,5.543507,5.5766647,4.8814484,4.8361568,5.1729992,4.4194169,4.6832884,4.315245,4.2047707,4.0217622,4.1419565,3.9931032,4.03552481,3.91133742,3.557250929
293,293,Buildings,Iceland,0.7987283,0.789526,0.8340873,0.872342,0.8635674,0.8666627,0.7846466,0.806539,0.8098284,0.774232,0.72477,0.705301,0.6544283,0.6389697,0.5805189,0.5448096,0.5856514,0.6331072,0.6675572,0.6797642,0.7142138,0.7414882,0.7918432,0.8266122,0.832666,0.8233942,0.9031138,0.8713539,0.8341854,0.8134368,0.7627613,0.6771528,0.7377065,0.7755545,0.7446112,0.7313172,0.6161155,0.633391,0.5834646,0.674565,0.605437,0.576966,0.5613471,0.6645321,0.627089,0.6840174,0.5754408,0.5909274,0.5897726557,0.4993592928,0.3766341431
343,343,Buildings,Norway,7.4626576,7.019923091,7.030254441,6.63981669,5.053937141,4.670440692,5.676716698,5.814336475,5.702806269,6.086437387,5.413017305,4.807718024,4.23513794,3.8387288,3.597275559,3.880840934,4.068356437,4.182440091,3.847986847,3.389379902,3.869554843,3.864567447,3.610121633,3.477550803,3.6463926,3.597025797,4.242828,3.8998826,3.872277597,3.914918,3.3134342,3.7609906,4.1395875,4.2085903,3.9417535,3.5699554,3.5570511,3.3004979,3.0403252,3.4182033,2.5996935,2.0629958,2.1428865,1.9323087,1.61671608,1.59121658,1.87579088,2.17502358,2.23848642,2.15165848,2.06161657
383,383,Buildings,Sweden,36.6954923,35.105662826,35.476006928,35.2570554728,28.6480350608,33.0379075967,36.2895772008,34.5625128364,28.6851247967,29.7815774,26.4736213967,25.8263274983,21.5988173,17.2868484017,13.9176164833,13.6605788,14.6713060967,13.2102393983,12.3435211,10.8336047,10.5731433,10.2400333,10.3862324,9.7373935,10.1664045,10.0929593,10.8943139,9.8952262,9.576137,9.1200372,7.4090061,7.3415704,7.191873,7.2002754,5.6009068,4.6093425,3.1697515,2.860419,2.5084281,2.9846839,3.3218583,2.8368205,2.0840094,1.7627634,1.8605393,1.510626,1.7470375,1.598201,1.4911812,1.57501337,1.48429546
467,467,Transport,Denmark,7.28192864,7.454912463,7.680445406,8.012102982,7.911329568,8.661962446,8.869237004,9.073995396,9.3037796391,9.298780037,8.980036837,8.719875645,8.803694801,8.743278707,9.300172701,10.780834337,11.22792491,11.04673537,11.052601509,11.356968861,10.3095247292,10.89944271822,10.86007237526,11.12809076631,11.57291480468,11.69683369717,11.815230474549,11.94360318607,11.9978807488,12.0427280896,12.0265279649,12.05911552772,12.2399545287,12.7140569277,13.1187443973,13.370688269,13.5510577275,14.14536710496,13.91978943398,13.20590152795,13.042505729,12.7481330346,11.3810693141,11.22080033045,11.31328861787,11.5308029536077,11.7920286856298,12.0348829462874,12.0593228699311,11.8787733453563,9.82983176221061
481,481,Transport,Finland,6.021333135,6.2566612547,6.627128269,7.16292928,6.99557196,7.53668859,7.622579159,7.676267881,7.781365687,8.3845607,8.33150989,8.43759038,8.63624643,8.83319686,9.09111469,9.5006175,10.0863303,10.802154299,10.946960299,11.558563399,11.716280393,11.40012874904,11.3527311981,11.1221212969,11.564559595,11.3582414,11.08625043,11.695207517,11.85520462,12.16511989,11.7471541562,11.88597299549,12.06986752007,12.26738061449,12.60388945636,12.62707669154,12.808705347947,13.14769956581,12.53008375964,11.96116195408,12.46671672564,12.29352827119,11.98648760038,11.82837452537,10.69277854139,10.68987771765,11.90358463858,11.30665826766,11.3480634705,11.10590526335,10.08583613708
502,502,Transport,Iceland,0.287432454,0.305864906,0.321080319,0.379278505,0.345505719,0.381895943,0.409774312,0.409892522,0.459122672,0.49598069,0.468221872,0.567215945,0.486757806,0.480892968,0.524221426,0.49649308,0.52425675,0.5763814,0.59447694,0.59771006,0.62822676,0.63728562,0.63459547,0.631594406,0.659536583,0.609397386,0.6796542732,0.587413623475,0.61177949161,0.62441663604,0.6277525288,0.637105077,0.6371702693,0.6402835018,0.6716302934,0.671630619,0.900188894,0.966296128,0.913566826,0.88840954459,0.84507438886,0.8173114897,0.7992030738,0.8150960907,0.8179750687,0.8470580083,0.9254944629,1.0031931831459,1.00123492517723,0.84774409046621,0.63939807113642
552,552,Transport,Norway,6.73843295,6.82860414,6.99232199,6.75445319,6.8247082,7.990564002,7.5923661,8.2815329,8.470687,9.3214474,8.48955389,8.15912811,8.2783635,8.5058918,8.8673972,9.2510854,10.050298,10.2035259,10.3732227,10.5573281,10.0329307,10.15066403,10.4046674,11.00640105,10.84161635,11.519856465,12.045406739,12.2444279431,12.676858985,12.885075333,12.05504889875,12.258156079513,12.26051869527,12.63594164116,13.01193797722,13.06952305031,13.68335657357,14.2745828383,13.928119598,13.6296039203,14.8158702309,14.96184823263,14.97952436755,14.60042638312,14.45335682106,14.25793278247,13.75607521722,12.18300357953,12.55236776321,11.9754230578,11.421417018642
592,592,Transport,Sweden,13.91510487,13.851119939,14.153368449,15.05349231,14.946999436,15.4270713989,16.5182402,17.175033593,17.650593561,17.3399733723,16.688741441329,16.38205210765,16.48107526676,16.80297958148,17.61566788897,18.17270543337,19.37753855761,19.69174762275,20.78374404801,21.33122795829,19.85682791305,19.558606285186,20.344116970118,19.435153160177,20.147128217682,20.34055298892,20.094873895509,20.332633757049,20.628101552135,21.068991217846,21.21396046869,21.141767023483,21.34988685861,21.64334887855,22.0425848625,22.41534319079,22.34945442374,22.62944612669,21.83888590365,21.24763280501,21.6908216148351,21.0676462779928,20.196796005057,19.6763549222352,19.9437060734318,19.6986328230947,20.0176632316352,19.7478667322927,17.940456635402,19.1835123805523,17.6777914291124
674,674,Other industrial combustion,Denmark,11.0544002,9.9125623,10.1804058,9.2952326,7.0892122,8.4380648,9.2754403,9.3848518,9.8879532,10.0702264,9.1408729,7.7062872,6.9409577,6.4811435,7.2351964,7.4837069,7.8661338,7.5280707,7.3213551,6.9417047,6.812293,7.3092122,7.3564609,7.2911546,7.4219974,7.8065466,7.970198,7.8687705,7.6774184,7.8654189,7.645858,7.8118703,7.4902589,7.5529434,7.7193673,7.5336512,7.7526436,7.5573695,6.9456814,6.0463645,6.1491893,6.1787215,5.9191699,5.5734079,5.5304293,5.5566222,5.5260612,5.8077276,5.7794364496,5.3420296964,4.3723034935
688,688,Other industrial combustion,Finland,12.5014093,12.1322348,14.8890621,16.0543992,14.6563063,13.0269247,13.820584,13.4240701,15.3274611,15.6757361,15.5035325,15.8341223,15.8893789,15.1406497,15.4020609,14.0296711,14.069222,14.7159976,14.0048592,15.3910817,15.316735,14.8515905,14.4302927,13.9435251,15.3640453,13.6681804,13.6287606,13.7011191,15.3186004,14.7456104,14.3206035,14.1300255,13.9553926,13.6303408,13.7824123,13.3174957,13.472694,13.4929542,12.947706,11.0082789,12.51184,12.2602378,11.2551186,11.2627045,11.0037066,10.945945,10.7977165,10.8010697,11.0587520786,10.2958738387,9.4327660611
708,708,Other industrial combustion,Iceland,0.200464,0.274768,0.305728,0.352168,0.395618,0.305621,0.351865,0.373733,0.451133,0.519043,0.5224316,0.426057,0.4067773,0.4658509,0.5838104,0.5803469,0.5851703,0.5278876,0.5624012,0.54361,0.550272,0.4840689,0.4700696,0.4810794,0.556718,0.5200669,0.6348726,0.6415402,0.6304918,0.5810075,0.764789,0.7856443,0.8243425,0.7722536,0.8469892,0.8261716,0.7499634,0.7023072,0.6143435,0.5118209,0.493823,0.4713267,0.4961721,0.5459442,0.5961947,0.5201984,0.5577535,0.5723087,0.6001248694,0.5687529298,0.5391116885
758,758,Other industrial combustion,Norway,9.2162196,8.7996552,9.1512702,9.5704603,10.459591,10.5008668,11.6944362,11.9801964,12.7669309,13.2393528,13.1925091,12.3704297,11.5773649,11.7118061,12.2075799,12.8390742,15.0634427,12.5628048,12.8801248,12.5598486,13.1715319,11.4428215,14.3974589,15.5545522,17.0507459,15.7764326,15.4479018,17.4378193,18.6428721,19.7471801,16.0187452,16.2443116,15.4626713,17.3712468,17.9027317,17.1650577,17.4534625,17.5174488,17.5120555,16.650039,17.4043373,17.0896592,17.1028576,17.5155219,17.7375492,18.2121311,17.8334176,18.5159117,18.776487681,18.888921215,18.358147312
798,798,Other industrial combustion,Sweden,24.9809898,23.3326532,22.5462489,25.2642438,23.4754469,25.0094134,24.8621967,22.7621726,22.34901,22.6102531,20.733266,17.4105449,15.6587552,14.1822339,13.6604209,14.1910305,13.6812581,13.5250528,12.6994046,12.2887669,13.5275693,12.9472904,15.362957,16.3962057,16.614158,16.7598071,17.2168353,15.8125773,15.9898025,16.2518602,15.5821738,13.8948697,13.9736027,13.9686464,14.448244,12.9532531,11.9024287,11.6149529,10.7709711,8.512289,10.342991,10.2510371,9.7181437,8.8671248,9.1922825,9.7241954,9.1187053,9.2040559,9.1488044,9.443019524,8.771133187
880,880,Other sectors,Denmark,2.85975621413,2.96884465853,3.05602835858,3.28184095848,3.14184817209,2.82087130609,2.88745650952,2.99209578818,3.33628857345,3.24876564404,2.71590777144,2.62806021258,2.76539636123,2.61244172417,2.6726407416,2.74609457536,2.82995822418,2.6733244569,2.59613740326,2.73063147782,2.5688123081,2.94885182909,3.0935153691,2.90694117151,3.15861791594,3.33496565829,3.46597436948,3.4626341171,3.11070996341,3.33846121414,3.22791160694,3.14778403432,3.01594042719,2.97246823669,3.00242302924,2.92549752372,2.91492821551,2.84231666043,2.60891046324,2.09618987421,1.88664683856,2.037756574,2.07191918637,2.15308300508,2.60988899427,2.65469537429,3.15346765286,3.29605766395,3.08848072595,2.33012416955,2.30677618669
895,895,Other sectors,Finland,3.65279799487,3.59601259038,3.8683375004,4.16468382783,4.370435917,3.83428695089,3.6575942583,3.54628665826,3.53910332924,3.82312173027,3.60592462255,3.5153101114,3.23328497085,3.13292319254,3.12729807898,3.23658914519,3.1800644905,4.10399378847,3.44182110564,3.42741081416,3.44544482017,3.15979730263,2.91709764585,3.01494770402,3.28111204942,3.71026110149,3.27447699364,3.22061597403,3.32680809436,3.44456026761,3.27859973275,3.35560592049,3.09414435853,3.06323077686,3.41322304833,3.39669331866,3.47277021591,3.45065566876,3.56818450225,3.19656800565,3.86094106648,3.57706983416,3.35265187564,3.7981594168,3.7653801039,3.70390643704,3.73888107892,3.56419072367,3.60852863254,3.58404411648,3.53455576205
916,916,Other sectors,Iceland,0.622340641,0.6341387066,0.7535465891,0.9220223167,0.8678767583,0.7592024939,0.8050073035,0.8312376661,0.7827622076,0.8014329182,0.6871423238,0.6077932392,0.4214081221,0.4292511096,0.5544252551,0.5105223486,0.4448014444,0.4410979919,0.4757164584,0.4823426349,0.4486172668,0.4312063148,0.4105998338,0.4675239648,0.4679407198,0.4844137428,0.4918473788,0.5243166538,0.6187078498,0.6948481637,0.7043739702,0.8653344562,0.9373150264,0.9212429532,0.9326079291,0.9379498984,1.0083341681,1.1802725824,1.6807226412,1.7628820714,1.8002018627,1.7483485133,1.8053488807,1.7139784057,1.5233747023,1.606086736,1.5501946215,1.6909143286,1.6031474467,1.61481407754,1.60985154869
966,966,Other sectors,Norway,13.19203746663,12.76329384968,15.31724255457,16.11509414768,15.26102740473,13.59124411602,13.91484564945,13.7048863538,11.82706456401,13.00141519867,12.82959592689,11.12101287244,8.87174769352,8.69777811562,10.00469098978,9.52437830347,8.63478883611,9.4942052822,10.39239161251,10.11743146939,9.97625518272,8.85238481522,8.60846588912,9.03389925458,9.45358426306,10.37430406562,9.79962240699,10.41848763654,10.47255487618,10.57666043304,11.00930146582,10.44780455296,10.13673131974,10.44563814361,10.35222972729,9.71709027420001,9.4277319564,9.8110615149,10.92135964248,9.01058260186,9.20978268236,9.2111284605,9.0788216547,8.98972521405,8.955625357129,9.06984866334025,9.17908178026,8.969365072593,8.932726051665,8.389708485845,8.430202661465
1006,1006,Other sectors,Sweden,7.4838702554,7.26278350182,7.29374409983,8.01192311097,7.876692988,6.9389362657,6.90064014428,6.29822322424,6.2902514414,6.6476744201,6.27196219938,5.79636747462,5.46785327146,5.33859776509,5.71222238302,5.29988280158,5.44090753498,5.37520700956,5.92820468379,5.91297709094,6.03285719001,5.40942520582,5.45764844377,5.46978750212,5.84055907024,6.07873965734,6.08012993318,6.14989970523,6.23131394817,6.03569894885,6.4417068412,7.22488630264,7.03192555787,6.54484241167,6.69788134806,6.86933368422,8.77853363486,8.1099453242,8.1534927292,6.7435399033,7.4508906276,6.90471744115,6.90014317214,6.6877045495,6.74311340442,7.02054174238,6.99668574148,6.78576158561,6.99832858698,6.87292978248,6.81977217878
